#,שאלה,תשובה,מקור
31,מה יעשה אם אין לו מים לנטילה?,יקנח בעפר ויברך על נקיות ידיים,"סימן 4, סעיף 22"
32,מתי מברכים אשר יצר?,כשיצא מבית הכסא,"סימן 6, סעיף 1"
33,מדוע ברכת אלהי נשמה אינה פותחת בברוך?,מפני שהיא ברכת הודאה,"סימן 6, סעיף 3"
34,האם מברכים אשר יצר גם אחרי הטלת מים?,כן,"סימן 7, סעיף 1"
35,האם מברכים אשר יצר כל היום?,כן,"סימן 7, סעיף 1"
36,האם מברכים על ציצית מעומד או מיושב?,מעומד,"סימן 8, סעיף 1"
37,"טלית שאין לה ארבע כנפות, האם חייבת?",פטורה,"סימן 10, סעיף 1"
38,האם חוטי הציצית צריכים טוויה לשמה?,כן,"סימן 11, סעיף 1"
39,מה דין היוצא בשבת בציצית פסולה?,חייב חטאת,"סימן 13, סעיף 1"
40,האם ציצית שעשאן גוי כשרה?,פסולה,"סימן 14, סעיף 1"
41,האם מותר להתיר ציצית מבגד לבגד?,מותר (להניח בבגד אחר),"סימן 15, סעיף 1"
42,האם נשים חייבות בציצית?,פטורות,"סימן 17, סעיף 2"
43,ציצית חובת גברא או חובת מנא?,חובת גברא,"סימן 19, סעיף 1"
44,האם מותר למכור טלית עם ציצית לגוי?,אסור,"סימן 20, סעיף 2"
45,האם מותר ליכנס לבית המרחץ עם ציצית?,מותר,"סימן 21, סעיף 3"
46,מה שכר הזהיר בציצית?,זוכה ורואה פני שכינה,"סימן 24, סעיף 6"
47,"מה קודם, תפילין של יד או של ראש?",של יד תחילה,"סימן 25, סעיף 1"
48,מה הברכה על תפילין של יד?,להניח תפילין,"סימן 25, סעיף 5"
49,האם מותר לדבר בין יד לשל ראש?,אסור,"סימן 25, סעיף 9"
50,האם מי שיש לו רק תפילה אחת מניח?,מניח מה שיש לו ומברך,"סימן 26, סעיף 1"
51,היכן מניחים תפילין של יד?,על הקיבורת שבזרוע שמאל,"סימן 27, סעיף 1"
52,באיזו יד מניחים תפילין?,ביד שמאל,"סימן 27, סעיף 1"
53,"מה חולצים קודם, של יד או של ראש?",של ראש תחילה,"סימן 28, סעיף 2"
54,האם מברכים כשחולצים תפילין?,לא,"סימן 29, סעיף 1"
55,מאימתי זמן הנחת תפילין?,משיכיר חברו בד' אמות,"סימן 30, סעיף 1"
56,האם מניחים תפילין בשבת ויום טוב?,לא,"סימן 31, סעיף 1"
57,האם מניחים תפילין בחול המועד?,יש מחלוקת,"סימן 31, סעיף 2"
58,באיזה דיו כותבים תפילין?,בדיו שחור,"סימן 32, סעיף 3"
59,"מהו סדר הפרשיות בתפילין לפי רש""י?","קדש, יביאך, שמע, והיה","סימן 34, סעיף 1"
60,האם נשים חייבות בתפילין?,פטורות,"סימן 38, סעיף 3"
61,האם תפילין שכתבן גוי כשרות?,פסולות,"סימן 39, סעיף 1"
62,האם מותר לתלות תפילין?,רק בכיסן,"סימן 40, סעיף 1"
63,"הנושא משאוי על ראשו, מה יעשה עם תפילין?",יחלוץ תפילין של ראש,"סימן 41, סעיף 1"
64,האם מותר לשנות תפילין של ראש לשל יד?,לא,"סימן 42, סעיף 1"
65,האם מותר לברך ברכות השחר לפני עמוד השחר?,כן,"סימן 46, סעיף 1"
66,כמה ברכות חייב אדם ביום?,100,"סימן 46, סעיף 3"
67,האם הכותב בדברי תורה צריך לברך?,כן,"סימן 47, סעיף 3"
68,האם מותר ללמוד תורה לפני ברכת התורה?,לא,"סימן 47, סעיף 6"
69,האם מותר לומר קריאת שמע בעל פה?,מותר,"סימן 49, סעיף 1"
70,מה אומרים לפני פסוקי דזמרה?,ברוך שאמר,"סימן 51, סעיף 1"
71,מדוע ישתבח אינה פותחת בברוך?,סמוכה לברוך שאמר,"סימן 54, סעיף 1"
72,כמה אנשים צריך לקדיש?,10,"סימן 55, סעיף 1"
73,האם מותר להפסיק בין שמיה לרבא?,לא יפסיק,"סימן 56, סעיף 1"
74,מה עונים על ברכו?,ברוך ה' המבורך לעולם ועד,"סימן 57, סעיף 1"
75,האם מותר לדבר בין קדיש לברכו?,אסור,"סימן 57, סעיף 2"
76,עד מתי זמן קריאת שמע?,סוף 3 שעות,"סימן 58, סעיף 1"
77,מה דין הקורא קריאת שמע מעמוד השחר?,יצא בדיעבד,"סימן 58, סעיף 4"
78,כיצד יש לקרוא את קריאת שמע?,ידקדק באותיותיה,"סימן 61, סעיף 6"
79,מה דין מי שלא דקדק בקריאת שמע?,יצא בדיעבד,"סימן 62, סעיף 1"
80,האם מותר לקרוא שמע בהליכה?,כן,"סימן 63, סעיף 1"
81,מתי מתחיל זמן תפילת שחרית?,מהנץ החמה,"סימן 89, סעיף 1"
82,האם מותר לאכול קודם התפילה?,אסור,"סימן 89, סעיף 3"
83,האם יש חובה להתפלל בציבור?,ישתדל בבית הכנסת,"סימן 90, סעיף 9"
84,מה דין הנצרך לנקביו ומתפלל?,אסור (תפלתו תועבה),"סימן 92, סעיף 1"
85,כיצד צריכות להיות הרגליים בתפילה?,צמודות כרגל אחת,"סימן 95, סעיף 1"
86,היכן צריך להסתכל בשעת התפילה?,עיניו למטה ולבו למעלה,"סימן 95, סעיף 2"
87,האם מותר להחזיק חפצים בשעת התפילה?,לא,"סימן 96, סעיף 1"
88,האם צריך כוונה בתפילה?,כן,"סימן 98, סעיף 1"
89,האם שיכור רשאי להתפלל?,לא,"סימן 99, סעיף 1"
90,האם מותר להתפלל בשפה אחרת?,כן,"סימן 101, סעיף 4"
91,האם מותר לעבור כנגד המתפללים?,לא (בתוך ד' אמות),"סימן 102, סעיף 1"
92,האם צריך לסמוך גאולה לתפילה?,כן,"סימן 111, סעיף 1"
93,באילו ברכות כורעים בשמונה עשרה?,אבות ומודים,"סימן 113, סעיף 1"
94,מתי מזכירים גשם?,ממוסף שמיני עצרת,"סימן 114, סעיף 1"
95,מה הדין אם טעה והזכיר גשם בקיץ?,חוזר,"סימן 114, סעיף 5"
96,מתי מתחילים לשאול גשמים בארץ ישראל?,7 בחשוון,"סימן 117, סעיף 1"
97,מה דין האומר מודים מודים?,משתקים אותו,"סימן 121, סעיף 2"
98,כמה פסיעות פוסעים בסוף התפילה?,3,"סימן 123, סעיף 1"
99,"האם מותר לדבר בשעת חזרת הש""ץ?",אסור,"סימן 124, סעיף 7"
100,"מה עושים כשמגיעים ל""מודים"" בחזרה?",אומרים מודים דרבנן,"סימן 127, סעיף 1"
101,האם נשיאת כפיים מצריכה עשרה אנשים?,כן,"סימן 128, סעיף 1"
102,האם לזר (מי שאינו כהן) מותר לישא כפיו?,לא,"סימן 128, סעיף 1"
103,בכמה מצוות עשה עובר כהן שלא עלה לדוכן כשקראו לו?,3,"סימן 128, סעיף 2"
104,האם מותר לעלות לדוכן במנעלים?,לא,"סימן 128, סעיף 5"
105,האם מותר לעלות לדוכן בבתי שוקיים (גרביים)?,כן,"סימן 128, סעיף 5"
106,עד היכן צריכים הכהנים ליטול ידיהם?,עד הפרק,"סימן 128, סעיף 6"
107,מי יוצק מים על ידי הכהנים?,הלוי,"סימן 128, סעיף 6"
108,האם כהן שלא עקר רגליו בברכת רצה יכול לעלות?,לא,"סימן 128, סעיף 8"
109,לאיזה כיוון פונים הכהנים בעומדם בדוכן לפני הקריאה?,לכיוון ההיכל,"סימן 128, סעיף 11"
110,"האם שליח הציבור קורא ""כהנים"" כשעולה כהן אחד בלבד?",לא,"סימן 128, סעיף 10"
111,מהו נוסח פתיחת ברכת הכהנים?,אשר קדשנו בקדושתו של אהרן,"סימן 128, סעיף 11"
112,לאיזה גובה מרימים הכהנים את ידיהם?,כנגד כתפותיהם,"סימן 128, סעיף 12"
113,האם מותר לכהנים להסתכל בידיהם בשעת הברכה?,לא,"סימן 128, סעיף 23"
114,כיצד מברכים הכהנים?,בקול רם,"סימן 128, סעיף 14"
115,האם מותר לכהן ששתה יין לישא כפיו?,לא,"סימן 128, סעיף 38"
116,האם כהן שיש לו מום בידיו יכול לישא כפיו?,לא (אלא אם הוא דש בעירו),"סימן 128, סעיף 30"
117,האם מותר לכהן שחזר בתשובה לישא כפיו?,כן,"סימן 128, סעיף 37"
118,האם מותר לכהן שהרג נפש לישא כפיו?,לא,"סימן 128, סעיף 35"
119,האם יש נשיאת כפיים בתפילת מנחה רגילה?,לא,"סימן 129, סעיף 1"
120,"מתי אומרים ""ברכנו בברכה המשולשת"" במנחה?",בתענית,"סימן 129, סעיף 1"
121,האם אומרים תחנון (נפילת אפיים) בלילה?,לא,"סימן 131, סעיף 3"
122,האם אומרים תחנון בבית האבל?,לא,"סימן 131, סעיף 4"
123,האם אומרים תחנון בבית הכנסת שיש בו ברית מילה?,לא,"סימן 131, סעיף 4"
124,האם אומרים תחנון במנחה שלפני ערב פסח?,לא,"סימן 131, סעיף 6"
125,באילו ימים קוראים בתורה?,"שני, חמישי ושבת","סימן 135, סעיף 1"
126,כמה אנשים עולים לתורה בימי חול?,3,"סימן 135, סעיף 1"
127,האם מותר לפחות מ-10 פסוקים בקריאת התורה?,לא,"סימן 137, סעיף 1"
128,האם מותר לשני אנשים לקרוא בתורה יחד?,לא,"סימן 141, סעיף 2"
129,האם מותר לקרוא בתורה בחומש מודפס בציבור?,לא,"סימן 143, סעיף 2"
130,האם מותר לדבר בזמן קריאת התורה?,לא,"סימן 146, סעיף 2"
131,האם מותר לאכול ולשתות בבית הכנסת?,לא,"סימן 151, סעיף 1"
132,האם מותר לישון בבית הכנסת?,לא,"סימן 151, סעיף 3"
133,האם מותר להפוך בית כנסת לבית מדרש?,כן,"סימן 153, סעיף 1"
134,האם חובה ליטול ידיים לפני אכילת פת?,כן,"סימן 158, סעיף 1"
135,האם מותר ליטול ידיים מתוך כלי שבור?,לא,"סימן 159, סעיף 1"
136,מה שיעור המים המינימלי לנטילת ידיים?,רביעית,"סימן 160, סעיף 13"
137,האם מותר ליטול ידיים במים שנעשתה בהם מלאכה?,לא,"סימן 160, סעיף 2"
138,האם חציצה (כמו טבעת הדוקה) פוסלת את הנטילה?,כן,"סימן 161, סעיף 3"
139,האם חובה לברך לפני הניגוב?,כן,"סימן 158, סעיף 11"
140,האם חובה לנגב את הידיים לפני ברכת המוציא?,כן,"סימן 158, סעיף 12"
141,האם מותר להאכיל מי שלא נטל ידיו?,לא,"סימן 163, סעיף 2"
142,האם מותר לדבר בין הנטילה לברכת המוציא?,לא,"סימן 166, סעיף 1"
143,האם מותר לדבר בין ברכת המוציא לטעימה?,לא,"סימן 167, סעיף 6"
144,מה מברכים על פת הבאה בכיסנין?,מזונות,"סימן 168, סעיף 6"
145,מתי מברכים המוציא על פת הבאה בכיסנין?,כשקובע עליה סעודה,"סימן 168, סעיף 6"
146,האם מותר לדבר במהלך הסעודה?,לא,"סימן 170, סעיף 1"
147,האם מותר לאכול פרוסה בשיעור כביצה בבת אחת?,לא,"סימן 170, סעיף 8"
148,האם מותר לשתות את כל הכוס בבת אחת?,לא,"סימן 170, סעיף 8"
149,האם מותר לנשוך פרוסה ולהניחה על השולחן?,לא,"סימן 170, סעיף 10"
150,האם מותר לשתות מהכוס ולתת לחברו לשתות ממנה?,לא,"סימן 170, סעיף 16"
151,האם מותר להשתמש בלחם לסמיכת קערה?,לא,"סימן 171, סעיף 1"
152,האם מותר לזרוק לחם?,לא,"סימן 171, סעיף 1"
153,האם חובה ליטול מים אמצעים בין בשר לדגים?,כן,"סימן 173, סעיף 2"
154,האם יין בתוך הסעודה טעון ברכה לפניו?,כן,"סימן 174, סעיף 1"
155,האם ברכת היין פוטרת את שאר המשקאות?,כן,"סימן 174, סעיף 2"
156,האם ברכת המוציא פוטרת בשר ודגים?,כן,"סימן 177, סעיף 1"
157,האם ברכת המוציא פוטרת פירות?,לא,"סימן 177, סעיף 1"
158,האם חובה ליטול מים אחרונים?,כן,"סימן 181, סעיף 1"
159,האם מותר לדבר בין מים אחרונים לברכת המזון?,לא,"סימן 181, סעיף 1"
160,האם מי שמסתפק אם בירך ברכת המזון חייב לחזור?,כן,"סימן 184, סעיף 4"
161,"מה עושים אם שכחו ""רצה"" בשבת בברכת המזון?",חוזרים לראש,"סימן 188, סעיף 6"
162,מאיזה גיל מצטרפים לזימון?,13,"סימן 199, סעיף 10"
163,מה מברכים על אורז?,מזונות,"סימן 208, סעיף 7"
164,מה מברכים על מים כששתה לצמאו?,שהכל,"סימן 204, סעיף 7"
165,"מהי ברכת ""מעין שלוש""?",על המחיה/העץ/הגפן,"סימן 208, סעיף 1"
166,מי קודם בברכה: זית או תמר?,זית,"סימן 211, סעיף 1"
167,האם עונים אמן על ברכת עצמו?,לא,"סימן 215, סעיף 1"
168,מי הם הארבעה שחייבים בברכת הגומל?,"יורדי הים, מדבריות, חולה, חבוש","סימן 219, סעיף 1"
169,האם מברכים על ראיית מלכי אומות העולם?,כן,"סימן 224, סעיף 8"
170,האם מברכים על ראיית חבריו לאחר 30 יום?,שהחיינו,"סימן 225, סעיף 1"
171,מה מברכים על רעמים?,שכחו וגבורתו מלא עולם,"סימן 227, סעיף 1"
172,מה מברכים על הברק?,עושה מעשה בראשית,"סימן 227, סעיף 1"
173,האם מותר לברך על הקשת?,כן,"סימן 229, סעיף 1"
174,מה מברכים על בשורות טובות?,הטוב והמטיב,"סימן 222, סעיף 1"
175,מה מברכים על בשורות רעות?,דיין האמת,"סימן 222, סעיף 2"
176,האם מברכים שהחיינו על כלי חדש?,כן,"סימן 223, סעיף 1"
177,האם מברכים על ראיית מקום שנעשה בו נס?,כן,"סימן 218, סעיף 1"
178,מה מברכים על הים הגדול?,שעשה את הים הגדול,"סימן 228, סעיף 1"
179,מה מברכים על ראיית פירות חדשים?,שהחיינו,"סימן 225, סעיף 3"
180,האם מברכים על ריח בשמים?,בורא מיני בשמים,"סימן 216, סעיף 1"
181,מה מברכים על שמן אפרסמון?,בורא שמן ערב,"סימן 216, סעיף 4"
182,האם מברכים על ריח פירות שראויים לאכילה?,שנתן ריח טוב בפירות,"סימן 216, סעיף 2"
183,האם מברכים על ריח בשמים בבית הכסא?,לא,"סימן 217, סעיף 1"
184,מה מברכים לפני שינה?,המפיל,"סימן 239, סעיף 1"
185,האם מותר לקרוא קריאת שמע שעל המיטה בישיבה?,כן,"סימן 239, סעיף 1"
186,מה מברכים בברכת המזון אם אכל פירות?,בורא נפשות,"סימן 207, סעיף 1"
187,מה סדר הקדימה בברכת הפירות?,"זית, תמר, רימון, תאנה","סימן 211, סעיף 1"
188,האם מברכים על מים ששתה כדי לבלוע מאכל?,לא,"סימן 204, סעיף 7"
189,מה מברכים על פת שנשרפה לגמרי?,שהכל,"סימן 204, סעיף 1"
190,האם מותר לברך ברכה שאינה צריכה?,לא,"סימן 215, סעיף 4"
191,האם מותר להפסיק בדיבור בין הברכה לאכילה?,לא,"סימן 206, סעיף 3"
192,מה עושים אם שכח לברך ונזכר כשהאוכל בתוך פיו?,מסלקו לצד ומברך,"סימן 206, סעיף 4"
193,האם מברכים על מאכל שריחו רע?,לא,"סימן 204, סעיף 11"
194,האם מותר לברך כשהוא ערום?,לא,"סימן 206, סעיף 3"
195,מה מברכים על ירקות מבושלים?,בורא פרי האדמה,"סימן 205, סעיף 1"
196,מה מברכים על פרי שאינו גמור?,שהכל,"סימן 202, סעיף 2"
197,מה מברכים על סוכר?,שהכל,"סימן 202, סעיף 15"
198,מה מברכים על פטריות?,שהכל,"סימן 204, סעיף 1"
199,מה מברכים על מרק פירות?,שהכל,"סימן 202, סעיף 10"
200,האם מברכים שהחיינו על בניית בית חדש?,כן,"סימן 223, סעיף 3"
201,האם מותר להשכיר שדה לגוי סמוך לשבת?,"כן, אם קצץ דמים מראש","סימן 243, סעיף 1"
202,האם מותר להשכיר מרחץ לגוי?,"לא, מפני שנקרא על שם בעליו","סימן 243, סעיף 2"
203,האם מותר ליתן כביסה לגוי בערב שבת?,"כן, אם קצץ דמים מראש","סימן 244, סעיף 1"
204,האם מותר ליתן לגוי איגרת להוליכה בשבת?,"לא, אלא אם כן קצץ דמים","סימן 247, סעיף 1"
205,האם מותר להטמין בערב שבת בדבר שמוסיף הבל?,לא,"סימן 257, סעיף 1"
206,"מה נחשב ל""מוסיף הבל"" לעניין הטמנה?","גפת, זבל, מלח, חול רטוב","סימן 257, סעיף 3"
207,האם מותר להוסיף מים חמים לכלי שהוטמן בערב שבת?,לא,"סימן 257, סעיף 4"
208,האם מותר לעשות מלאכה לאחר השקיעה בערב שבת?,"לא, זהו זמן בין השמשות","סימן 261, סעיף 1"
209,מתי חובה להפסיק ממלאכה בערב שבת?,מזמן תוספת שבת,"סימן 261, סעיף 2"
210,"כמה זמן הוא שיעור ""תוספת שבת""?",מעט לפני השקיעה,"סימן 261, סעיף 2"
211,חובה לרחוץ פנים ידיים ורגליים בחמין בערב שבת?,"כן, מצווה לכבוד שבת","סימן 262, סעיף 1"
212,האם חובה לחדד את הסכין בערב שבת?,"כן, משום עונג שבת","סימן 262, סעיף 2"
213,האם חובה ללבוש בגדים נקיים ומיוחדים בשבת?,"כן, ""כבוד שבת""","סימן 262, סעיף 3"
214,כמה נרות נהגו להדליק לכתחילה?,שניים,"סימן 263, סעיף 1"
215,מה הדין אם שכחה להדליק נרות שבת פעם אחת?,מדליקה מכאן ואילך נר נוסף,"סימן 263, סעיף 1"
216,מי חייב בהדלקת נרות שבת?,כל אדם (נשים וגברים),"סימן 263, סעיף 2"
217,האם מותר לאכול סעודה גדולה בערב שבת?,"לא, כדי שיאכל שבת לתיאבון","סימן 263, סעיף 2"
218,מאיזו שעה מותר לקבל שבת מוקדם?,מפלג המנחה,"סימן 263, סעיף 4"
219,האם מברכים על הדלקת נרות שבת?,"כן, ""להדליק נר של שבת""","סימן 263, סעיף 5"
220,מהו המקום המועדף להנחת נרות השבת?,על השולחן שאוכלים עליו,"סימן 263, סעיף 10"
221,האם מותר להשתמש בנפט להדלקת נרות שבת?,כן,"סימן 264, סעיף 6"
222,האם מותר להזיז נר דולק בשבת?,"לא, הוא מוקצה","סימן 265, סעיף 3"
223,האם מותר לאכול לפני הקידוש בלילה?,לא,"סימן 271, סעיף 4"
224,מה מברכים על היין בקידוש?,בורא פרי הגפן,"סימן 271, סעיף 10"
225,מהו שיעור היין שצריך לשתות מהכוס בקידוש?,כמלוא לוגמיו,"סימן 271, סעיף 13"
226,האם ניתן לקדש על הפת במקום יין?,כן,"סימן 272, סעיף 9"
227,האם יוצאים ידי חובת קידוש במקום שאין סעודה?,לא,"סימן 273, סעיף 1"
228,"מה נחשב ל""מקום סעודה"" לעניין קידוש?",באותו חדר או שרואה את המקום,"סימן 273, סעיף 1"
229,כמה לחמים צריך לבצוע עליהם בשבת?,שתיים (לחם משנה),"סימן 274, סעיף 1"
230,מהו הטעם למצוות לחם משנה?,זכר למן שירד במישנה,"סימן 274, סעיף 1"
231,האם מותר לקרוא לאור הנר בשבת?,"לא, שמא יטה אותו","סימן 275, סעיף 1"
232,האם מותר לקרוא לאור הנר אם יש שומר בחדר?,מותר,"סימן 275, סעיף 2"
233,האם מותר לקרוא לאור נר גז או חשמל יציב?,מותר,"סימן 275, סעיף 8"
234,מהו הדין לגבי פתיחת מקרר בשבת?,"מותר, בתנאי שהנורה כבויה","סימן 277, סעיף 4"
235,האם חובה לאכול שלוש סעודות בשבת?,כן,"סימן 291, סעיף 1"
236,מתי הוא הזמן לקיום סעודה שלישית?,לאחר תפילת מנחה,"סימן 291, סעיף 2"
237,מה מברכים בסעודה שלישית?,המוציא (לחם משנה),"סימן 291, סעיף 4"
238,מהו סדר הברכות בהבדלה?,"יין, בשמים, נר, הבדלה","סימן 296, סעיף 1"
239,האם נשים חייבות בהבדלה?,כן,"סימן 296, סעיף 8"
240,מה מברכים במוצאי שבת על הבשמים?,בורא מיני בשמים,"סימן 297, סעיף 1"
241,מה מברכים במוצאי שבת על הנר?,בורא מאורי האש,"סימן 298, סעיף 1"
242,האם מותר לאכול לפני הבדלה?,לא,"סימן 299, סעיף 1"
243,האם מותר לשתות מים לפני הבדלה?,מותר,"סימן 299, סעיף 1"
244,האם מותר לעשות מלאכה לפני הבדלה?,"רק לאחר אמירת ""המבדיל""","סימן 299, סעיף 10"
245,"מהו ""מלווה מלכה""?",סעודה שאוכלים במוצאי שבת,"סימן 300, סעיף 1"
246,האם מותר לרוץ בשבת?,"לא, אלא אם כן לצורך מצווה","סימן 301, סעיף 1"
247,האם מותר לצאת עם מחט שתחובה בבגד?,לא,"סימן 301, סעיף 11"
248,האם מותר לצאת עם משקפיים בשבת?,מותר,"סימן 301, סעיף 11"
249,האם מותר לצאת עם מטפחת בכיס?,"לא, אלא אם כן קשורה לבגד","סימן 301, סעיף 23"
250,האם מותר לצאת לרשות הרבים עם תכשיט?,נשים נהגו להקל,"סימן 303, סעיף 1"
251,האם מותר להשתמש בבעלי חיים בשבת?,לא,"סימן 305, סעיף 18"
252,האם מותר לדבר בשבת על עסקי חול?,לא,"סימן 307, סעיף 1"
253,"האם מותר לומר בשבת ""אקנה חפץ זה מחר""?",לא,"סימן 307, סעיף 1"
254,האם מותר לטלטל מוקצה בשבת?,לא,"סימן 308, סעיף 1"
255,"מהו ""מוקצה מחמת חסרון כיס""?",חפץ יקר שמקפידים עליו,"סימן 308, סעיף 1"
256,"מהו ""כלי שמלאכתו לאיסור""?",כלי שעיקר שימושו למלאכה אסורה,"סימן 308, סעיף 3"
257,מתי מותר לטלטל כלי שמלאכתו לאיסור?,לצורך גופו או לצורך מקומו,"סימן 308, סעיף 3"
258,"האם מותר לטלטל חפץ ב""שינוי"" (בגב היד)?","לא, אלא לצורך גדול","סימן 308, סעיף 3"
259,האם מותר לטלטל אבנים או מעות בשבת?,"לא, מוקצה גמור","סימן 308, סעיף 7"
260,האם מותר לטלטל קטן שיש לו אבן ביד?,מותר,"סימן 308, סעיף 10"
261,האם מותר לטלטל נבילה בשבת?,אם ראויה למאכל כלבים - מותר,"סימן 308, סעיף 29"
262,האם מותר להשתמש בבסיס לדבר האסור?,"לא, הוא נעשה מוקצה","סימן 309, סעיף 4"
263,האם מותר לטלטל מת בשבת?,רק לצורך המקום או בכיכר/תינוק,"סימן 311, סעיף 1"
264,האם מותר לבנות או לסתור בשבת?,לא,"סימן 313, סעיף 1"
265,האם מותר להשתמש בכלים המחוברים בברגים?,"כן, אם לא דרך בנייה","סימן 313, סעיף 6"
266,האם מותר לעשות אוהל עראי בשבת?,לא,"סימן 315, סעיף 1"
267,האם מותר לפתוח מטריה בשבת?,"לא, משום אוהל","סימן 315, סעיף 8"
268,האם מותר לצוד חיה או עוף בשבת?,לא,"סימן 316, סעיף 1"
269,האם מותר להרוג כינה בשבת?,"מותר (לפי השו""ע)","סימן 316, סעיף 9"
270,האם מותר להרוג פרעוש בשבת?,לא,"סימן 316, סעיף 9"
271,האם מותר לקשור קשר של קיימא בשבת?,לא,"סימן 317, סעיף 1"
272,איזה קשר מותר לקשור בשבת?,קשר שאינו של קיימא (עניבה),"סימן 317, סעיף 3"
273,האם מותר לברור פסולת מתוך אוכל בשבת?,לא,"סימן 319, סעיף 1"
274,כיצד מותר לברור בשבת לכתחילה?,"אוכל מתוך פסולת, ביד, ולאלתר","סימן 319, סעיף 1"
275,האם מותר להשתמש בנפה או כברה בשבת?,לא,"סימן 319, סעיף 8"
276,האם מותר לסחוט פירות בשבת?,זיתים וענבים - לא,"סימן 320, סעיף 1"
277,האם מותר לסחוט פרי לתוך אוכל מוצק?,מותר,"סימן 320, סעיף 4"
278,האם מותר לסחוט לימון בשבת?,נהגו להקל לתוך אוכל,"סימן 320, סעיף 6"
279,האם מותר לטחון בשבת?,לא,"סימן 321, סעיף 7"
280,האם מותר לרסק תפוח על מגרדת (פומפייה)?,לא,"סימן 321, סעיף 10"
281,כיצד מותר לחתוך ירקות בשבת?,חתיכות גדולות מעט,"סימן 321, סעיף 12"
282,האם מותר ללוש בשבת?,לא,"סימן 321, סעיף 16"
283,האם מותר להדיח כלים בשבת?,רק אם הם לצורך השבת,"סימן 323, סעיף 6"
284,האם מותר להדיח כלים במוצאי שבת?,לא בשבת עצמה,"סימן 323, סעיף 6"
285,האם מותר לרחוץ את כל גופו בחמין בשבת?,לא,"סימן 326, סעיף 1"
286,האם מותר להשתמש בסבון בשבת?,לא,"סימן 326, סעיף 10"
287,"האם מותר לעשות ""שינוי"" בדרבנן במקום חולה?",כן,"סימן 328, סעיף 1"
288,מה הדין בחולה שיש בו סכנה בשבת?,מחללים עליו את השבת לכל צרכיו,"סימן 328, סעיף 2"
289,מי צריך לחלל שבת עבור חולה מסוכן?,גדולי ישראל וזריז הרי זה משובח,"סימן 328, סעיף 12"
